Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Current Landfill Status
1058,Caswell County LF,NC,162 Landfill Road,Yanceyville,Caswell,27379,36.4395,-79.3644,Public,Caswell County,1975,Closed
1071,Charlotte Motor Speedway Landfill V,NC,5105 Morehead Road,Concord,Cabarrus,28027,35.3457,-80.6826,Private,"Republic Services, Inc.",1992,Open
1060,Chatham County LF,NC,720 County Landfill Road,Pittsboro,Chatham,27312,35.7401,-79.26471,Public,"Chatham County, NC",1975,Closed
1061,Cherokee County Landfill,NC,5610 Fairview Road (SR 1515),Marble,Cherokee,28905,35.17883,-83.90334,Public,"Cherokee County, NC",1972,Closed
11501,Cherokee County Subtitle D MSW Facility,NC,10160 US 19,Marble,Cherokee,28905,35.1786,-83.91,Public,"Cherokee County, NC",,Open
1062,City of Albemarle LF,NC,40592B Stony Gap Road,Albemarle,Stanly,28001,35.3173,-80.1658,Public,"City of Albemarle, NC",1974,Open
1063,City of Durham SLF,NC,2115 E. Club Boulevard,Durham,Durham,27704,36.02604,-78.85641,Public,"City of Durham, NC",1973,Closed
1064,City of Greensboro White Street Landfill,NC,2503 White Street,Greensboro,Guilford,27405,36.107,-79.73,Public,"City of Greensboro, NC",1965,Open
1068,Clay County LF,NC,,,Clay,,,,Public,"Clay County, NC",1982,Closed
1069,Cleveland County LF,NC,"1609 Airport Road
250 Fielding Road",Shelby,Cleveland,28150,35.3287,-81.477,Public,"Cleveland County, NC",1971,Open
1070,Cliffside South Rutherford County LF,NC,SR 2138 Avondale Landfill Road,Forest City,Rutherford,28043,35.27,-81.806,Public,"Rutherford County, NC",1977,Closed
1072,"Columbus County, ARS",NC,354 Landfill Road SR-1428,Whiteville,Columbus,28472,34.2941,-78.7543,Public,"Columbus County, NC",1973,Closed
1073,Craven County LF,NC,7400 Old US 70 Highway,New Bern,Craven,28562,35.1682,-77.2282,Public,Craven County,1982,Closed
1075,Cumberland County Ann Street Landfill,NC,698 Ann Street,Fayetteville,Cumberland,28301,35.065,-78.868,Public,"Cumberland County, NC",1980,Open
1076,Currituck County LF,NC,,,Currituck,,,,Public,Currituck County,1974,Closed
1126,Dan Johnson LF,NC,"SR 1931
near town",Ronda,Wilkes,28621,,,Private,Dan Johnson,1975,Closed
1077,Davidson County LF,NC,1242 Old Highway 29,Thomasville,Davidson,27360,35.8324,-80.1756,Public,"Davidson County, NC",1985,Open
1078,Davie County LF,NC,360 Dalton Road,Mocksville,Davie,27028,35.87509,-80.52091,Public,Davie County,1972,Closed
1079,Duplin County LF,NC,,Kenansville,Duplin,,,,Public,Duplin County,1973,Closed
