County, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,CancerType
Twiggs,13289,* ,*, *,3 or fewer,*,*,*,*,Liver
Upson,13293,* ,*, *,3 or fewer,*,*,*,*,Liver
Warren,13301,* ,*, *,3 or fewer,*,*,*,*,Liver
Washington,13303,* ,*, *,3 or fewer,*,*,*,*,Liver
Webster,13307,* ,*, *,3 or fewer,*,*,*,*,Liver
Wheeler,13309,* ,*, *,3 or fewer,*,*,*,*,Liver
Wilcox,13315,* ,*, *,3 or fewer,*,*,*,*,Liver
Wilkes,13317,* ,*, *,3 or fewer,*,*,*,*,Liver
Wilkinson,13319,* ,*, *,3 or fewer,*,*,*,*,Liver
Worth,13321,* ,*, *,3 or fewer,*,*,*,*,Liver
