State,,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Charleston County, South Carolina(6,8)",,450.7,441.7,459.8,2044,falling,-1.3,-1.7,-0.8
"Forsyth County, North Carolina(6,8)",,475.5,466.1,485,2041,falling,-0.6,-1,-0.1
"Hamilton County, Tennessee(6,8)",,459.7,450.5,468.9,2039,falling,-1.3,-2,-0.5
"Orange County, New York(7,8)",,497.8,487.9,507.9,2009,falling,-0.6,-0.9,-0.4
"St. Charles County, Missouri(6,8)",,461.2,452,470.6,1989,falling,-1,-1.4,-0.6
"St. Lucie County, Florida(6,8)",,438.4,429.3,447.6,1983,stable,-0.6,-1.2,0.1
"Rockingham County, New Hampshire(6,8)",,502.4,492.1,512.8,1969,falling,-1,-1.3,-0.7
"Albany County, New York(7,8)",,518.7,508.1,529.6,1919,stable,0.1,-0.2,0.4
"Orleans Parish, Louisiana(7,8)",,447.4,438.2,456.8,1905,falling,-1.6,-2.5,-0.7
"Barnstable County, Massachusetts(7,8)",,483,472.3,494.1,1901,falling,-1.4,-1.7,-1
"Butler County, Ohio(6,8)",,448.4,439.1,457.8,1855,stable,-0.5,-0.9,0
"Gloucester County, New Jersey(7,8)",,541.6,530.3,553,1853,stable,-0.2,-0.5,0
"Lane County, Oregon(6,8)",,389.9,381.6,398.3,1846,falling,-1.8,-2.4,-1.3
"Pinal County, Arizona(6,8)",,355,347.5,362.6,1845,falling,-1.1,-1.7,-0.6
"Escambia County, Florida(6,8)",,492.6,482.3,503.1,1838,rising,0.9,0.2,1.7
"Somerset County, New Jersey(7,8)",,463.3,453.6,473.2,1827,falling,-0.8,-1.2,-0.4
"Lorain County, Ohio(6,8)",,468,458.1,478,1820,falling,-0.5,-0.8,-0.3
"Madison County, Alabama(6,8)",,443.6,434.3,453.1,1800,stable,0,-0.6,0.6
"Rockland County, New York(7,8)",,485.7,475.4,496,1794,falling,-1.5,-2.2,-0.9
